"NIS_code","municipality_NL","municipality_FR","arrondissement_NL","arrondissement_FR","province_NL","province_FR","region_NL","region_FR","inhabitants","zip"
23039,"Kapelle-op-den-Bos","Kapelle-op-den-Bos","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","9,396",1880
23044,"Liedekerke","Liedekerke","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","13,188",1770
23045,"Londerzeel","Londerzeel","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","18,620",1840
23047,"Machelen","Machelen","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","15,417",1831
23050,"Meise","Meise","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","19,164",1860
23052,"Merchtem","Merchtem","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","16,294",1785
23060,"Opwijk","Opwijk","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","14,378",1745
23062,"Overijse","Overijse","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","25,169",3090
23064,"Pepingen","Pepingen","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","4,372",1673
23077,"Sint-Pieters-Leeuw","Sint-Pieters-Leeuw","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","34,038",1600
23081,"Steenokkerzeel","Steenokkerzeel","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","12,090",1820
23086,"Ternat","Ternat","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","15,481",1742
23088,"Vilvoorde","Vilvorde","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","44,015",1800
23094,"Zaventem","Zaventem","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","33,806",1930
23096,"Zemst","Zemst","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","23,325",1982
23097,"Roosdaal","Roosdaal","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","11,629",1761
23098,"Drogenbos","Drogenbos","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","5,599",1620
23099,"Kraainem","Kraainem","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","13,690",1950
23100,"Linkebeek","Linkebeek","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","4,760",1630
23101,"Sint-Genesius-Rode","Rhode-Saint-Genèse","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","18,296",1640
23102,"Wemmel","Wemmel","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","16,347",1780
23103,"Wezembeek-Oppem","Wezembeek-Oppem","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","14,021",1970
23104,"Lennik","Lennik","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","9,024",1750
23105,"Affligem","Affligem","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","13,225",1790
24001,"Aarschot","Aarschot","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","29,965",3200
24007,"Begijnendijk","Begijnendijk","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","10,053",3130
24008,"Bekkevoort","Bekkevoort","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","6,274",3460
24009,"Bertem","Bertem","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","9,958",3060
24011,"Bierbeek","Bierbeek","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","10,025",3360
24014,"Boortmeerbeek","Boortmeerbeek","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","12,379",3190
24016,"Boutersem","Boutersem","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","8,167",3370
24020,"Diest","Diest","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","23,824",2100
24028,"Geetbets","Geetbets","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","6,035",3450
24033,"Haacht","Haacht","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","14,470",3150
24038,"Herent","Herent","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","21,632",3020
24041,"Hoegaarden","Hoegaarden","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","6,942",3320
24043,"Holsbeek","Holsbeek","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","9,905",3220
24045,"Huldenberg","Huldenberg","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","9,892",3040
24048,"Keerbergen","Keerbergen","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","12,743",3140
24054,"Kortenaken","Kortenaken","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","7,875",3471
24055,"Kortenberg","Kortenberg","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","20,214",3071
24059,"Landen","Landen","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","15,961",3404
24062,"Leuven","Louvain","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","101,396",3001
24066,"Lubbeek","Lubbeek","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","14,393",3211
24086,"Oud-Heverlee","Oud-Heverlee","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","11,099",3052
24094,"Rotselaar","Rotselaar","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","16,678",3110
24104,"Tervuren","Tervuren","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","22,248",3080
24107,"Tienen","Tirlemont","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","34,675",3300
24109,"Tremelo","Tremelo","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","14,842",3128
24130,"Zoutleeuw","Léau","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","8,498",3440
24133,"Linter","Linter","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","7,255",3350
24134,"Scherpenheuvel-Zichem","Montaigu-Zichem","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","22,952",3271
24135,"Tielt-Winge","Tielt-Winge","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","10,707",3390
24137,"Glabbeek","Glabbeek","Leuven","Louvain","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","5,298",3384
25005,"Bevekom","Beauvechain","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","7,222",1320
25014,"Eigenbrakel","Braine-l’Alleud","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","39,837",1420
25015,"Kasteelbrakel","Braine-le-Château","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","10,447",1440
25018,"Chaumont-Gistoux","Chaumont-Gistoux","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","11,731",1325
25023,"Court-Saint-Etienne","Court-Saint-Etienne","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","10,500",1490
25031,"Genepiën","Genappe","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","15,353",1470
25037,"Graven","Grez-Doiceau","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","13,368",1390
25043,"Incourt","Incourt","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","5,388",1315
25044,"Itter","Ittre","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","6,865",1461
25048,"Geldenaken","Jodoigne","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","14,079",1370
25050,"Terhulpen","La Hulpe","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","7,320",1310
25068,"Mont-Saint-Guibert","Mont-Saint-Guibert","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","7,562",1435
25072,"Nijvel","Nivelles","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","28,521",1401
25084,"Perwijs","Perwez","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","9,291",1360
25091,"Rixensart","Rixensart","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","22,401",1332
25105,"Tubeke","Tubize","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","25,914",1480
25107,"Villers-la-Ville","Villers-la-Ville","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","10,713",1495
25110,"Waterloo","Waterloo","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","30,174",1410
25112,"Waver","Wavre","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","34,305",1301
25117,"Chastre","Chastre","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","7,592",1450
25118,"Hélécine","Hélécine","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","3,479",1357
25119,"Lasne","Lasne","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","14,236",1380
25120,"Orp-Jauche","Orp-Jauche","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","8,856",1350
25121,"Ottignies-Louvain-la-Neuve","Ottignies-Louvain-la-Neuve","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","31,385",1341
25122,"Ramillies","Ramillies","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","6,394",1367
25123,"Rebecq","Rebecq","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","11,006",1430
25124,"Walhain","Walhain","Nijvel","Nivelles","Waals-Brabant","Brabant wallon","Waals Gewest","Région wallonne","7,167",1457
31003,"Beernem","Beernem","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","15,687",8730
31004,"Blankenberge","Blankenberge","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","20,349",8370
31005,"Brugge","Bruges","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","118,284",8310
31006,"Damme","Damme","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","11,008",8340
31012,"Jabbeke","Jabbeke","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","13,880",8490
31022,"Oostkamp","Oostkamp","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","23,580",8020
31033,"Torhout","Torhout","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","20,530",8820
31040,"Zedelgem","Zedelgem","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","22,635",8211
31042,"Zuienkerke","Zuienkerke","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","2,730",8377
31043,"Knokke-Heist","Knokke-Heist","Brugge","Bruges","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","33,097",8300
32003,"Diksmuide","Dixmude","Diksmuide","Dixmude","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","16,739",8600
32006,"Houthulst","Houthulst","Diksmuide","Dixmude","West-Vlaanderen","Flandre occidentale","Vlaams Gewest","Région flamande","10,032",8650
